Homer,The senile old fool.,,,,,
Homer,I do not miss Bart at all.,,,,,
Homer,B'oh!,,,,,
Homer,D'oh!,,,,,
Homer,First over cliff.,,,,,
Homer,You like back rub?,,,,,
HOMER (CONT'D,I dunno.,,,,,
HOMER (CONT'D,"Wow, this is soft...",,,,,
Homer Actor,"Sorry, M.B., but I'm having trouble with this character. Is he supposed to have some kind of neurological impairment like ""Rainman,"" or ""Awakenings""? I mean, what the Hell am I doing here?",,,,,
HOMER AND BART,,,,,,
Homer Angel,I'm gonna tell!,,,,,
Homer Angel,,,,,,
Homer Devil,"Bury it. Quickly, before anyone finds out.",,,,,
Homer Devil,Now we're in it together. There's no goin' back.,,,,,
Homer Devil,Yeah!,,,,,
Homer Devils,,,,,,
Homer Doll,I peed my pants.,,,,,
Homer Double,,,,,,
Homer Double,,,,,,
Homer Double,,,,,,
Homer Double,Beer... for me?,,,,,
Homer Double,Chores? Me need clone.,,,,,
Homer Double,Outfit good... flatters butt.,,,,,
Homer Double,Me good Dad.,,,,,
Homer Double,,,,,,
Homer Double,,,,,,
Homer Double,Nuh-uh.,,,,,
Homer Double,Why you little...,,,,,
Homer Double,Me concur.,,,,,
Homer Double,,,,,,
Homer Double,I do!,,,,,
Homer Double,,,,,,
HOMER DOUBLES,,,,,,
HOMER DOUBLES,,,,,,
HOMER DOUBLES,Beer-beer-beer-beer-beer-beer-beer-beer-beer-beer!,,,,,
HOMER DOUBLES,,,,,,
HOMER DOUBLES,Len-ny.,,,,,
HOMER DOUBLES,"Mmmmmm, donuts.",,,,,
HOMER DOUBLES,,,,,,
Homer Drums,,,,,,
Homer Effigy,"I WORK HARD FOR THE MONEY! / SO HARD FOR THE MONEY! / OH, I SOMETHING, SOMETHING MONEY! / COME ON, GIVE ME LOTS OF HONEY!",,,,,
Homer Effigy,So hard... for the money... So hard... Turn tape over.,,,,,
Homer Glumpet,,,,,,
Homer Glumpet,,,,,,
HOMER JR.,Da-da.,,,,,
HOMER JR.,Da-da! Da-da!,,,,,
Homer Monster,,,,,,
Homer Puppet,Doot de-doo de-doo do-doo de-doo... Strained spinach?! I'm not going to eat that -- it's yucky!,,,,,
Homer Puppet,Really? I guess I'll try it then.,,,,,
Homer Puppet,Mmm-mm-mm! I wonder if Maggie would like it.,,,,,
Homer Simpson,Never thrown a party? What about that big bash we had with all the champagne and musicians and holy men and everything?,,,,,
Homer Simpson,"Bart didn't get one vote?! Oh, this is the worst thing that ever happened to us. Alright, allright, spilled milk, spilled milk, spilled milk. What are you so mopey about?",,,,,
Homer Simpson,Oh.,,,,,
Homer Simpson,And?,,,,,
Homer Simpson,"Hey, just because I don't care doesn't mean I don't understand.",,,,,
